,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ALL Items Purchased ALL Locations,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Date Range: 06/09/2023 - 06/08/2024, 06/09/2024 - 06/08/2025",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Anand Ganger, 6/8/2025 10:46 AM",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Billing Location Nickname,Billing Location Address,Billing Location Account Number,Shipped Location Nickname,Shipped Location Address,Shipped Location Account Number,Short Description,Extended Description,Item Code,Manufacturer,Uom,Previous Quantity,Current Quantity,Previous Amount,Current Amount,CategoryTree,Category,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Category Level 6,Category Level 7,Category Level 8,Category Level 9,Category Level 10
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Steri-Strip Skin Closure Strip Non-Woven Rayon Backed 1/2x2"" White 50/Bx, 4 BX/CA","Steri-Strip Skin Closure Strip Non-Woven Rayon Backed 1/2x2"" White Adherent Sterile 50/Box, 4 BX/CA",4584654,3M Medical Products,BX,1,,43.08,,Medical & Surgical Supplies > Wound Closure > Skin Closure Strip,Medical & Surgical Supplies,Wound Closure,Skin Closure Strip,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Medline Skin Staple Remover Stainless Steel Ea, 100 EA/CA","Medline Skin Staple Remover Stainless Steel Each, 100 EA/CA",8310361,Medline Industries Inc,EA,3,2,2.52,1.79,"Medical & Surgical Supplies > Wound Closure > Skin Stapler, Remover & Accessories",Medical & Surgical Supplies,Wound Closure,"Skin Stapler, Remover & Accessories",,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Skin Staple Stapler Stainless Steel/Plastic Handle Ea, 100 EA/CA","Henry Schein Skin Staple Stapler Stainless Steel/Plastic Handle Squeeze Handle 35 Regular Each, 100 EA/CA",5702957,Henry Schein Inc.,EA,3,2,13.17,9.59,"Medical & Surgical Supplies > Wound Closure > Skin Stapler, Remover & Accessories",Medical & Surgical Supplies,Wound Closure,"Skin Stapler, Remover & Accessories",,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Monocryl Suture 4-0 18"" Poliglecaprone 25 Monofilament P-3 Undyed 12/Bx","Monocryl Suture Poliglecaprone 25 Monofilament 4-0 18"" Absorbable P-3 Precision Point Reverse Cutting 3/8 Circle Needle 13mm Uncoated Undyed 12/Box",6540574,J & J Healthcare Systems,BX,3,3,924.90,"1,030.69",Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Monocryl Suture 4-0 18"" Poliglecaprone 25 Monofilament PS-2 Undyed 12/Bx","Monocryl Suture Poliglecaprone 25 Monofilament 4-0 18"" Absorbable PS-2 Cutting Edge Prime Reverse 3/8 Circle Needle 19mm Uncoated Undyed 12/Box",6542244,J & J Healthcare Systems,BX,,4,,"1,223.61",Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"PDS II Suture 3-0 18"" Polydioxanone Monofilament PS-2 Clear 12/Bx","PDS II Suture Polydioxanone Monofilament 3-0 18"" Absorbable PS-2 Cutting Edge Prime Reverse 3/8 Circle Needle 19mm Uncoated Clear 12/Box",6544518,J & J Healthcare Systems,BX,2,3,569.40,936.39,Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"PDS II Suture 4-0 18"" Polydioxanone Monofilament PS-2 Clear 12/Bx","PDS II Suture Polydioxanone Monofilament 4-0 18"" Absorbable PS-2 Cutting Edge Prime Reverse 3/8 Circle Needle 19mm Uncoated Clear 12/Box",6545192,J & J Healthcare Systems,BX,1,1,362.35,387.80,Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Polysorb Suture 4-0 18"" Polyester Braid P-12 Undyed 12/Bx","Polysorb Suture Polyester Braid 4-0 18"" Absorbable P-12 Premium Reverse Cutting 3/8 Circle Needle 19mm Coated Undyed 12/Box",2942717,Medtronic MITG-Covidien,BX,2,5,138.86,361.27,Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Polysorb Suture 4-0 18"" Polyester Braid P-13 Undyed 12/Bx","Polysorb Suture Polyester Braid 4-0 18"" Absorbable P-13 Premium Reverse Cutting 3/8 Circle Needle 13mm Coated Undyed 12/Box",1103138,Medtronic MITG-Covidien,BX,1,3,71.24,219.54,Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Polysorb Suture 5-0 18"" Polyester Braid P-13 Undyed 12/Ca","Polysorb Suture Polyester Braid 5-0 18"" Absorbable P-13 Premium Reverse Cutting 3/8 Circle Needle 13mm Coated Undyed 12/Case",2942347,Medtronic MITG-Covidien,CA,1,1,69.44,69.44,Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Polysorb Suture 6-0 18"" Polyester Braid P-13 Undyed 12/Ca","Polysorb Suture Polyester Braid 6-0 18"" Absorbable P-13 Premium Reverse Cutting 3/8 Circle Needle 13mm Coated Undyed 12/Case",9458146,Medtronic MITG-Covidien,CA,,1,,75.85,Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Surgipro II Suture 4-0 18"" Polypropylene Monofilament P-12 Blue 12/Ca","Surgipro II Suture Polypropylene Monofilament 4-0 18"" Non-Absorbable P-12 Premium Reverse Cutting 3/8 Circle Needle 19mm Uncoated Blue 12/Case",2945366,Medtronic MITG-Covidien,CA,5,6,504.50,624.52,Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Surgipro II Suture 4-0 18"" Polypropylene Monofilament P-13 Blue 12/Ca","Surgipro II Suture Polypropylene Monofilament 4-0 18"" Non-Absorbable P-13 Premium Reverse Cutting 3/8 Circle Needle 13mm Uncoated Blue 12/Case",2947805,Medtronic MITG-Covidien,CA,11,9,"1,221.75","1,053.29",Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Surgipro II Suture 5-0 18"" Polypropylene Monofilament P-12 Blue 12/Ca","Surgipro II Suture Polypropylene Monofilament 5-0 18"" Non-Absorbable P-12 Premium Reverse Cutting 3/8 Circle Needle 19mm Uncoated Blue 12/Case",2948081,Medtronic MITG-Covidien,CA,1,2,102.31,207.63,Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Surgipro II Suture 5-0 18"" Polypropylene Monofilament P-13 Blue 12/Ca","Surgipro II Suture Polypropylene Monofilament 5-0 18"" Non-Absorbable P-13 Premium Reverse Cutting 3/8 Circle Needle 13mm Uncoated Blue 12/Case",1595074,Medtronic MITG-Covidien,CA,3,2,311.64,216.26,Medical & Surgical Supplies > Wound Closure > Suture with Needle,Medical & Surgical Supplies,Wound Closure,Suture with Needle,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Droppers Glass 4"" 10/Pk","Droppers Glass 4"" 10/Package",1325134,American Dental Supply,PK,1,,17.99,,Medical & Surgical Supplies > Zahn/Dental Supplies > General Merchandise,Medical & Surgical Supplies,Zahn/Dental Supplies,General Merchandise,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Prebent Dispensing Tips Pink 18 Gauge 20/Pk, 50 PK/CA","HSI Prebent Dispensing Tips Pink 18 Gauge Standard Package 20/Package, 50 PK/CA",9004585,Henry Schein Inc.,PK,3,1,29.97,9.99,Medical & Surgical Supplies > Zahn/Dental Supplies > Restorative Material,Medical & Surgical Supplies,Zahn/Dental Supplies,Restorative Material,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Sanitary Pad 11"" Maximum White Disposable LF 288/Ca","Sanitary Pad 11"" Maximum White Disposable Not made with natural rubber latex 288/Case",8310104,Medline Industries Inc,CA,,1,,26.52,Pharmacy > Health & Beauty Care > Personal Care > Feminine Care,Pharmacy,Health & Beauty Care,Personal Care,Feminine Care,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Ointment Petrolatum White Packet 144/Bx, 6 BX/CA","Ointment Petrolatum White Packet 144/Box, 6 BX/CA",5703127,Henry Schein Inc.,BX,8,17,127.12,232.23,Pharmacy > Health & Beauty Care > Personal Care > Lotion,Pharmacy,Health & Beauty Care,Personal Care,Lotion,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Petroleum Jelly White Ea, 144 EA/CA","Petroleum Jelly White Each, 144 EA/CA",1948259,Cardinal Health,EA,,49,,46.21,Pharmacy > Health & Beauty Care > Personal Care > Lotion,Pharmacy,Health & Beauty Care,Personal Care,Lotion,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Alcohol Solution 16oz/Bt, 12 BT/CA","Alcohol Solution 16oz/Bottle, 12 BT/CA",1127067,Henry Schein Inc.,BT,,2,,3.42,Pharmacy > OTC > First Aid > Antibiotic & Antiseptic,Pharmacy,OTC,First Aid,Antibiotic & Antiseptic,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Hydrogen Peroxide 3% Solution 16oz/Ea, 12 EA/CA","Hydrogen Peroxide 3% Solution 16oz/Each, 12 EA/CA",1127069,Henry Schein Inc.,EA,4,,2.84,,Pharmacy > OTC > First Aid > Antibiotic & Antiseptic,Pharmacy,OTC,First Aid,Antibiotic & Antiseptic,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Polysporin Topical Ointment 0.5oz/Tb, 72 TB/CA","Polysporin Topical Ointment 0.5oz/Tube, 72 TB/CA",5800031,Kenvue Brands Llc,TB,7,,46.97,,Pharmacy > OTC > First Aid > Antibiotic & Antiseptic,Pharmacy,OTC,First Aid,Antibiotic & Antiseptic,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Witch Hazel Astringent Solution 16oz/Bt, 12 BT/CA","Witch Hazel Astringent Solution 16oz/Bottle, 12 BT/CA",1263352,Hydrox Labs,BT,28,26,104.54,103.44,Pharmacy > OTC > First Aid > Antibiotic & Antiseptic,Pharmacy,OTC,First Aid,Antibiotic & Antiseptic,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Aloe Vera Moisturizing Gel Bottle 12oz/Ea,Aloe Vera Moisturizing Gel Bottle 12oz/Each,1235002,Fruit of the Earth,EA,5,3,40.40,24.24,Pharmacy > OTC > First Aid > Burn & Wound Care,Pharmacy,OTC,First Aid,Burn & Wound Care,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Petroleum Jelly Petrolatum Flip Top Tube 1oz/Tb, 72 TB/CA","Petroleum Jelly Petrolatum Flip Top Tube 1oz/Tube, 72 TB/CA",1253744,New World Imports,TB,67,7,37.38,3.92,Pharmacy > OTC > First Aid > Burn & Wound Care,Pharmacy,OTC,First Aid,Burn & Wound Care,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Lidocaine HCl Injection 1% MDV 10mL 25/Package,Lidocaine HCl Injection 1% MDV 10mL 25/Package,1319097,Eugia Us Llc,BX,1,,41.47,,Pharmacy > Rx > Anesthetics > Local,Pharmacy,Rx,Anesthetics,Local,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Nesacaine Injection 2% MDV 30mL 25/Package,Nesacaine Injection 2% MDV 30mL 25/Package,1500127,"Fresenius Kabi, LLC",PK,,1,,553.77,Pharmacy > Rx > Anesthetics > Local,Pharmacy,Rx,Anesthetics,Local,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Nesacaine Injection 2% MDV 30mL Each,Nesacaine Injection 2% MDV 30mL Each,2480864,"Fresenius Kabi, LLC",VL,,1,,22.15,Pharmacy > Rx > Anesthetics > Local,Pharmacy,Rx,Anesthetics,Local,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Xylocaine MPF Injection 1% Preservative Free SDV 2mL 25/Package,Xylocaine MPF Injection 1% Preservative Free SDV 2mL 25/Package,1500113,"Fresenius Kabi, LLC",PK,1,,63.23,,Pharmacy > Rx > Anesthetics > Local,Pharmacy,Rx,Anesthetics,Local,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Xylocaine w/Epinephrine Injection 1% 1:100,000 MDV 50mL 25/Package","Xylocaine w/Epinephrine Injection 1% 1:100,000 MDV 50mL 25/Package",1500073,"Fresenius Kabi, LLC",PK,,1,,485.20,Pharmacy > Rx > Anesthetics > Local,Pharmacy,Rx,Anesthetics,Local,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Asclera Injection 1% 10mg/mL Ampule 2mL 5/Package,Asclera Injection 1% 10mg/mL Ampule 2mL 5/Package,1415768,Methapharm,BX,7,12,737.22,"1,664.04",Pharmacy > Rx > Cardiovasculars > Sclerosing Agents,Pharmacy,Rx,Cardiovasculars,Sclerosing Agents,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Kenalog-10 Injection 10mg/mL MDV 5mL Each, 24 VL/CA","Kenalog-10 Injection 10mg/mL MDV 5mL Each, 24 VL/CA",1960545,Bristol-Myers-Squibb,VL,43,48,701.52,789.12,Pharmacy > Rx > Corticosteroids > Corticosteroids,Pharmacy,Rx,Corticosteroids,Corticosteroids,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Kenalog-40 Injection 40mg/mL MDV 10mL Each,Kenalog-40 Injection 40mg/mL MDV 10mL Each,1969429,Bristol-Myers-Squibb,VL,7,6,716.61,619.02,Pharmacy > Rx > Corticosteroids > Corticosteroids,Pharmacy,Rx,Corticosteroids,Corticosteroids,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Kenalog-40 Injection 40mg/mL MDV 5mL Each,Kenalog-40 Injection 40mg/mL MDV 5mL Each,1961737,Bristol-Myers-Squibb,VL,1,1,69.08,69.08,Pharmacy > Rx > Corticosteroids > Corticosteroids,Pharmacy,Rx,Corticosteroids,Corticosteroids,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Drysol Extra Strength Topical Solution 20% Dab On Bottle Ea,Drysol Extra Strength Topical Solution 20% Dab On Bottle Each,2282906,"Person & Covey, Inc",EA,4,,50.42,,Pharmacy > Rx > Dermatological Agents > Other Dermatological,Pharmacy,Rx,Dermatological Agents,Other Dermatological,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Mupirocin Topical Ointment 2% Tube 22gm Each,Mupirocin Topical Ointment 2% Tube 22gm Each,1271598,Taro Pharmaceutical,TB,10,,31.10,,Pharmacy > Rx > Dermatological Agents > Topical Antibiotics,Pharmacy,Rx,Dermatological Agents,Topical Antibiotics,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Mupirocin Topical Ointment 2% Tube 22gm Each,Mupirocin Topical Ointment 2% Tube 22gm Each,1364874,Padagis Us Llc,TB,15,56,42.24,157.92,Pharmacy > Rx > Dermatological Agents > Topical Antibiotics,Pharmacy,Rx,Dermatological Agents,Topical Antibiotics,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Epinephrine Injection 0.3mg Auto-Injector 2/Package,Epinephrine Injection 0.3mg Auto-Injector 2/Package,1279954,Amneal Pharmaceuticals,PK,1,1,245.82,245.82,Pharmacy > Rx > Emergency Medications > Alpha and Beta Adrenergic Agonist,Pharmacy,Rx,Emergency Medications,Alpha and Beta Adrenergic Agonist,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Hylenex Injection 150u/mL SDV 1mL 4/Package,Hylenex Injection 150u/mL SDV 1mL 4/Package,2480064,"Antares Pharma, Inc",PK,,1,,280.85,Pharmacy > Rx > Miscellaneous - Rx > Miscellaneous - Rx,Pharmacy,Rx,Miscellaneous - Rx,Miscellaneous - Rx,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Sodium Chloride 0.9% Injection Lifeshield SDV 10mL 25/Package,Sodium Chloride 0.9% Injection Lifeshield SDV 10mL 25/Package,1261699,Pfizer Injectables,BX,,3,,207.54,Pharmacy > Rx > Solutions and Diluents > Diluents,Pharmacy,Rx,Solutions and Diluents,Diluents,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Sodium Chloride Bacteriostatic Injection 0.9% LF MDV 10mL 25/Package, 4 BX/CA","Sodium Chloride Bacteriostatic Injection 0.9% LF MDV 10mL 25/Package, 4 BX/CA",1046851,Pfizer Injectables,BX,,1,,73.55,Pharmacy > Rx > Solutions and Diluents > Diluents,Pharmacy,Rx,Solutions and Diluents,Diluents,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Sodium Chloride Bacteriostatic Injection 0.9% MDV 30mL 25/Package, 4 BX/CA","Sodium Chloride Bacteriostatic Injection 0.9% MDV 30mL 25/Package, 4 BX/CA",1048583,Pfizer Injectables,BX,2,1,50.58,25.29,Pharmacy > Rx > Solutions and Diluents > Diluents,Pharmacy,Rx,Solutions and Diluents,Diluents,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Sodium Chloride Bacteriostatic Injection 0.9% MDV 30mL 25/Package, 4 BX/CA","Sodium Chloride Bacteriostatic Injection 0.9% MDV 30mL 25/Package, 4 BX/CA",1048583,Pfizer Injectables,CA,,2,,203.36,Pharmacy > Rx > Solutions and Diluents > Diluents,Pharmacy,Rx,Solutions and Diluents,Diluents,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Sodium Chloride Injection 0.9% SDV 2mL 25/Package,Sodium Chloride Injection 0.9% SDV 2mL 25/Package,2487163,"Fresenius Kabi, LLC.",BX,,1,,26.62,Pharmacy > Rx > Solutions and Diluents > Diluents,Pharmacy,Rx,Solutions and Diluents,Diluents,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Wixom,"49200 Wixom Tech Dr Angela Marie Frost Ferrell, Wixom, MI, 483933560",3049318,"AquaSonic Clear Ultrasound Gel 5Ltr/Bt, 4 BT/CA","AquaSonic Clear Ultrasound Gel 5Ltr/Bottle, 4 BT/CA",1019866,Parker Laboratories Inc,BT,,1,,24.85,Equipment > Imaging > Ultrasound > Consumables,Equipment,Imaging,Ultrasound,Consumables,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Wixom,"49200 Wixom Tech Dr Angela Marie Frost Ferrell, Wixom, MI, 483933560",3049318,Cry-Ac Withdrawal Device For Liquid Nitrogen Ea,Cry-Ac Withdrawal Device For Liquid Nitrogen Each,6929301,Brymill Corporation,EA,1,,599.00,,Equipment > Procedural Tools > Cryosurgery > Accessories & Parts,Equipment,Procedural Tools,Cryosurgery,Accessories & Parts,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Wixom,"49200 Wixom Tech Dr Angela Marie Frost Ferrell, Wixom, MI, 483933560",3049318,"Straight Spray Extension Needle 18gx1"" Conventional Ea","Needle 18g 1"" Straight Spray Extension Conventional Each",4319457,Brymill Corporation,EA,2,,68.54,,Equipment > Procedural Tools > Cryosurgery > Accessories & Parts,Equipment,Procedural Tools,Cryosurgery,Accessories & Parts,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Wixom,"49200 Wixom Tech Dr Angela Marie Frost Ferrell, Wixom, MI, 483933560",3049318,Kit Cautery Change-A-Tip Ea,Kit Cautery Change-A-Tip Each,5909094,Bovie Medical Corporation,EA,1,,42.28,,Equipment > Procedural Tools > Electrosurgery > Accessories & Parts,Equipment,Procedural Tools,Electrosurgery,Accessories & Parts,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Wixom,"49200 Wixom Tech Dr Angela Marie Frost Ferrell, Wixom, MI, 483933560",3049318,Dermal Tip Electrode For Electrosurgical Pencil 100/Bx,Henry Schein Dermal Tip Electrode For Electrosurgical Pencil 100/Box,5700891,Henry Schein Inc.,BX,2,,128.78,,Equipment > Procedural Tools > Electrosurgery > Consumables,Equipment,Procedural Tools,Electrosurgery,Consumables,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Wixom,"49200 Wixom Tech Dr Angela Marie Frost Ferrell, Wixom, MI, 483933560",3049318,"Electrode Electrosurgical Hyfrecator 3/8"" 6/Pk","Electrode Electrosurgical Hyfrecator 3/8"" Reusable 6/Package",4800818,Conmed Endosurgery,PK,1,,130.90,,Equipment > Procedural Tools > Electrosurgery > Consumables,Equipment,Procedural Tools,Electrosurgery,Consumables,,,,,,
